run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	library_layout	library_source	read_count	base_count	first_public	last_updated	study_title	run_alias	fastq_bytes	fastq_md5	fastq_ftp	sra_bytes	sra_md5	sra_ftp	sample_alias	sample_title
SRR8615090	SAMN10988087	SRS4395230	SRX5414150	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	220484	66145200	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	SNU-503.bam	10301351;16717155	55fa1cd09a5db0ee768dca84058bbdd7;daea88ff18798072c95e85c7c23bced0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615090/SRR8615090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615090/SRR8615090_2.fastq.gz	27570818	86f8c196adcdff7a5d36cbfb18164e0f	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/000/SRR8615090	SNU503_LARGE_INTESTINE	SNU503_LARGE_INTESTINE
SRR8615095	SAMN10988071	SRS4395225	SRX5414145	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	160098	48029400	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	SNU-216.bam	7703347;12047031	badeddbd5e2d54b5f20ff6c06c9f1635;4d24b3303382c53dfe9f6a2cb094ea8e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615095/SRR8615095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615095/SRR8615095_2.fastq.gz	20246799	16d841e8755069c17d31fc57a47e9e98	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/005/SRR8615095	SNU216_STOMACH	SNU216_STOMACH
SRR8615105	SAMN10987865	SRS4395215	SRX5414135	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	133498	40049400	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	HuG1-N.bam	7337874;10112870	d28e7a6edc7cdc11d0c14185991bd7fb;92d922decb4e859b747a869d944d8ad3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615105/SRR8615105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615105/SRR8615105_2.fastq.gz	17404566	d03c84c91b5ace0ec86f3d887b088841	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/005/SRR8615105	HUG1N_STOMACH	HUG1N_STOMACH
SRR8615116	SAMN10989581	SRS4395204	SRX5414124	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	141745	42523500	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	NCI-H2073.bam	6380428;10547954	80ec1346d5798b9537af40a5b78721fe;9f37bd72b6e96b03b1c25d74eafb71ae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615116/SRR8615116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615116/SRR8615116_2.fastq.gz	17248722	6bf6500153f28731ab66eac4d81fbdf1	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/006/SRR8615116	NCIH2073_LUNG	NCIH2073_LUNG
SRR8615117	SAMN10987597	SRS4395203	SRX5414123	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	230109	69032700	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	SW1116.bam	12814373;17631144	1549cd4c2ec4ebe859cfd95cd8b3e377;614c3d5af1219e4f94a181f9eefb6f53	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615117/SRR8615117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615117/SRR8615117_2.fastq.gz	30302736	ffba4c81651e7ef0c8c74f0af878f4cb	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/007/SRR8615117	SW1116_LARGE_INTESTINE	SW1116_LARGE_INTESTINE
SRR8615118	SAMN10988374	SRS4395202	SRX5414122	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	170097	51029100	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	Sq-1.bam	9439289;13041274	473e2f64aabffc10719577fcd41d479a;2c05251f76582abe1017f0688c3d74da	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615118/SRR8615118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615118/SRR8615118_2.fastq.gz	22396710	ce501066544bd4889ef06f65d3780be3	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/008/SRR8615118	SQ1_LUNG	SQ1_LUNG
SRR8615119	SAMN10987730	SRS4395201	SRX5414121	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	287053	86115900	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	SNU-761.bam	13611491;21508352	7a0a7ee94dcee67ef321a939ce21b18f;37adb45f4bedd0500a1e1fc5ba989c1c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615119/SRR8615119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615119/SRR8615119_2.fastq.gz	35717095	7c8cb1bae7b3dcd9e1689fc44cea6a24	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/009/SRR8615119	SNU761_LIVER	SNU761_LIVER
SRR8615120	SAMN10988060	SRS4395199	SRX5414120	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	162960	48888000	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	SNU-719.bam	7789815;12292438	bebba968bd484d1179647bfa037b8119;82f4d89cb3e4e20beccd0546572d2b96	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615120/SRR8615120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615120/SRR8615120_2.fastq.gz	20578992	c653bb5bdd11da128dbd2cf1bb0d7bce	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/000/SRR8615120	SNU719_STOMACH	SNU719_STOMACH
SRR8615128	SAMN10987785	SRS4395192	SRX5414112	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	159147	47744100	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	COLO-800.bam	8831396;12297452	8947a2df77a7d32dc9b880e77c26d7d9;95485f50332502b0127346a0f3873e9b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615128/SRR8615128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615128/SRR8615128_2.fastq.gz	21117897	05ef5b12c2eee7f282234895482d703d	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/008/SRR8615128	COLO800_SKIN	COLO800_SKIN
SRR8615130	SAMN10988464	SRS4395190	SRX5414110	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	102859	30857700	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	CL-40.bam	6605190;8123376	82df99704d75905731e0a18cf07cacce;10e198b38f3a3d5239c108818d053cb2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615130/SRR8615130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615130/SRR8615130_2.fastq.gz	15021661	d245f900bc9e15cc0a048ba27bd93f77	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/000/SRR8615130	CL40_LARGE_INTESTINE	CL40_LARGE_INTESTINE
SRR8615132	SAMN10988457	SRS4395188	SRX5414108	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	109023	32706900	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	CL-14.bam	6444374;8403296	01d3541efab0c122a0c9d606c5114218;2d9da95e4d38333f773f50424147a6c6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615132/SRR8615132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615132/SRR8615132_2.fastq.gz	14975350	81241eb8501c06d3c84983e55373864a	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/002/SRR8615132	CL14_LARGE_INTESTINE	CL14_LARGE_INTESTINE
SRR8615135	SAMN10988260	SRS4395185	SRX5414105	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	133302	39990600	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	COLO-679.bam	7734323;10391223	b88f2f2003a790406bb5ed44c3c6e558;b1a52f844228d7967e2cf64147a97c4e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615135/SRR8615135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615135/SRR8615135_2.fastq.gz	18114180	0f9418389e67092787896542d1ede1eb	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/005/SRR8615135	COLO679_SKIN	COLO679_SKIN
SRR8615139	SAMN10988144	SRS4395181	SRX5414101	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	180430	54129000	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	MPP_89.bam	11203909;14229663	38a69429b6621f6b09d09e3235cd6297;99e24ed4c197ff9b6d37f6d27245c268	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615139/SRR8615139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615139/SRR8615139_2.fastq.gz	25653714	dc3a025907a4c698141c845688f91bea	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/009/SRR8615139	MPP89_PLEURA	MPP89_PLEURA
SRR8615148	SAMN10987780	SRS4395172	SRX5414092	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	222850	66855000	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	RERF-LC-AI.bam	12283440;17032689	3dd2ce2c8351e09cf5d0c709930d685b;37deecd6e997752fbdcd0e600cdfe708	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615148/SRR8615148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615148/SRR8615148_2.fastq.gz	29169065	203cd77e1e231512856b2e77c6000b09	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/008/SRR8615148	RERFLCAI_LUNG	RERFLCAI_LUNG
SRR8615150	SAMN10988297	SRS4395170	SRX5414090	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	170511	51153300	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	RERF-LC-Ad1.bam	10361685;13378526	0e825812d1c2f8f27cde5160b42ebe75;b4c841a4ce9417f03b90f213a2e9dee1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615150/SRR8615150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615150/SRR8615150_2.fastq.gz	23886265	2da32b102984327ce02960f85b567093	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/000/SRR8615150	RERFLCAD1_LUNG	RERFLCAD1_LUNG
SRR8615153	SAMN10988456	SRS4395167	SRX5414087	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	159763	47928900	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	NU-DHL-1.bam	7548498;12009900	94ca076eb5fd057ba998c197854a37ef;bf2119d98625ba952322ca9b6b4d9ce4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615153/SRR8615153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615153/SRR8615153_2.fastq.gz	20051619	f6387e535f4991186224c69b3b07f3f2	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/003/SRR8615153	NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SRR8615158	SAMN10988559	SRS4395162	SRX5414082	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	131053	39315900	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	CADO-ES1.bam	6564402;9988557	651e8373073551ce2f639c5c9c9705e0;e3506d33fdb24fb72c5d9b7b6a209c89	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615158/SRR8615158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615158/SRR8615158_2.fastq.gz	17004854	b19f1248cba64204ca4ef23979da6fe2	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/008/SRR8615158	CADOES1_BONE	CADOES1_BONE
SRR8615160	SAMN10988379	SRS4395160	SRX5414080	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	156859	47057700	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	MOLM-13.bam	7772430;12006415	255308daeb50ade5311904a8627e72c0;3aa005dea95f7edbf2c4112dbb1d56be	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615160/SRR8615160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615160/SRR8615160_2.fastq.gz	20324974	b16d0759d793003bb369d61e7e71e12b	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/000/SRR8615160	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SRR8615170	SAMN10987715	SRS4395150	SRX5414070	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	121280	36384000	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	CJM.bam	7629117;9545664	01e45c1dd5fae0e4f79d23163f93a61a;ebcc4df09972ae66dd7bcf09c9e49eca	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615170/SRR8615170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615170/SRR8615170_2.fastq.gz	17496400	1dc11982c876b37a800593ccb9a78a65	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/000/SRR8615170	CJM_SKIN	CJM_SKIN
SRR8615171	SAMN10988234	SRS4395148	SRX5414069	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	102515	30754500	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	SK-MEL-3.bam	5518694;7804434	a84973da4b0460afdd2b0ec7c44bc630;8c69da88f8cb0ea483a6cd9a6254418e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615171/SRR8615171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615171/SRR8615171_2.fastq.gz	13304766	26250fc6301994be543a57bc1fda3c21	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/001/SRR8615171	SKMEL3_SKIN	SKMEL3_SKIN
SRR8615173	SAMN10987752	SRS4395147	SRX5414067	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	119929	35978700	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	SNU-1033.bam	6097356;9185459	0d4007ab590a538bfe3ad601eb6a0d3b;582bd560b5afc12c914ac008d234f8dd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615173/SRR8615173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615173/SRR8615173_2.fastq.gz	15748755	9a554dfaad05906ff2ffeabf697fb0f4	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/003/SRR8615173	SNU1033_LARGE_INTESTINE	SNU1033_LARGE_INTESTINE
SRR8615181	SAMN10987756	SRS4395139	SRX5414059	PRJNA523380	9606	Homo sapiens	ILLUMINA	PAIRED	GENOMIC	204365	61309500	2019-03-28	2019-03-28	Cancer Cell Line Encyclopedia (CCLE)	HCC-1171.bam	9860359;15457900	c5e140de7757b70677acd4c49bd5dafd;2b5835eec35f58f952cfa62428eb5f95	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615181/SRR8615181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615181/SRR8615181_2.fastq.gz	25737142	8b8c66a508caa41df9cb546929294b6d	ftp.sra.ebi.ac.uk/vol1/srr/SRR861/001/SRR8615181	HCC1171_LUNG	HCC1171_LUNG
