run_accession,sample_name,sample_acc,experiment,library_name,sra_study,center_name,platform,assay_type,librarysource,organism,releasedate,bases,size_in_bytes,size_in_GB,disease_sam,disease_stage_sam_s_dpl172,tissue_sam,run_file_create_date
SRR8615329,NCIH1105_LUNG,SRS4395177,SRX5414424,RNASeq-NCIH1105_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17514431008,8584437207,8.58,carcinoma (small_cell_carcinoma),metastasis,lung,2019-02-23T22:48:00.000Z
SRR8615590,RERFLCKJ_LUNG,SRS4395165,SRX5414810,RNASeq-RERFLCKJ_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,23327131498,12516576514,12.52,carcinoma (non_small_cell_carcinoma),primary,lung,2019-02-23T23:48:00.000Z
SRR8615373,ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395423,SRX5414380,RNASeq-ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,24317896856,11386760442,11.39,lymphoid_neoplasm (Burkitt_lymphoma),metastasis,haematopoietic_and_lymphoid_tissue,2019-02-23T23:01:00.000Z
SRR8615792,COLO678_LARGE_INTESTINE,SRS4395184,SRX5414608,RNASeq-COLO678_LARGE_INTESTINE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22946544712,12888450683,12.89,carcinoma (adenocarcinoma),metastasis,large_intestine,2019-02-24T00:03:00.000Z
SRR8615439,RMGI_OVARY,SRS4395371,SRX5414314,RNASeq-RMGI_OVARY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,14986453528,7542889814,7.54,carcinoma (clear_cell_carcinoma),primary,ovary,2019-02-23T22:48:00.000Z
SRR8615906,KM12_LARGE_INTESTINE,SRS4396041,SRX5415144,RNASeq-KM12_LARGE_INTESTINE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19949674126,10513651837,10.51,carcinoma (adenocarcinoma),primary,large_intestine,2019-02-24T00:26:00.000Z
SRR8616029,SNU668_STOMACH,SRS4395200,SRX5415021,RNASeq-SNU668_STOMACH,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20186745164,10861296119,10.86,carcinoma (signet_ring_adenocarcinoma),metastasis,stomach,2019-02-24T00:56:00.000Z
SRR8616017,A549_LUNG,SRS4395951,SRX5415033,RNASeq-A549_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18626131746,9116073423,9.12,carcinoma (non_small_cell_carcinoma),primary,lung,2019-02-24T00:40:00.000Z
SRR8616176,HCC15_LUNG,SRS4395822,SRX5414874,RNASeq-HCC15_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18549767666,9207212808,9.21,carcinoma (squamous_cell_carcinoma),primary,lung,2019-02-24T01:06:00.000Z
SRR8615852,SNB75_CENTRAL_NERVOUS_SYSTEM,SRS4395571,SRX5414548,RNASeq-SNB75_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19868104506,10676760329,10.68,glioma,primary,central_nervous_system,2019-02-24T00:13:00.000Z
SRR8615266,CAL29_URINARY_TRACT,SRS4395515,SRX5414487,RNASeq-CAL29_URINARY_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22686728474,12678947866,12.68,carcinoma (transitional_cell_carcinoma),primary,urinary_tract,2019-02-23T23:05:00.000Z
SRR8615589,NCIH1435_LUNG,SRS4395775,SRX5414811,RNASeq-NCIH1435_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15310207008,7673807337,7.67,carcinoma (non_small_cell_carcinoma),primary,lung,2019-02-23T23:35:00.000Z
SRR8616022,SNU81_LARGE_INTESTINE,SRS4395194,SRX5415028,RNASeq-SNU81_LARGE_INTESTINE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,10725406140,5137571800,5.14,carcinoma,primary,large_intestine,2019-02-24T00:06:00.000Z
SRR8615752,SF126_CENTRAL_NERVOUS_SYSTEM,SRS4395645,SRX5414648,RNASeq-SF126_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16066374414,8038330473,8.04,glioma (astrocytoma),primary,central_nervous_system,2019-02-24T00:01:00.000Z
SRR8615397,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395403,SRX5414356,RNASeq-LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18306360090,9770254513,9.77,lymphoid_neoplasm (plasma_cell_myeloma),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:03:00.000Z
SRR8616067,ML1_THYROID,SRS4395915,SRX5414983,RNASeq-ML1_THYROID,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22211237644,11800140256,11.8,carcinoma (follicular_carcinoma),primary,thyroid,2019-02-24T00:51:00.000Z
SRR8615362,KATOIII_STOMACH,SRS4395432,SRX5414391,RNASeq-KATOIII_STOMACH,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15126348426,7541379313,7.54,carcinoma (adenocarcinoma),metastasis,stomach,2019-02-23T22:53:00.000Z
SRR8615738,G361_SKIN,SRS4395659,SRX5414662,RNASeq-G361_SKIN,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18694911130,9319885393,9.32,malignant_melanoma,primary,skin,2019-02-23T23:59:00.000Z
SRR8615714,KALS1_CENTRAL_NERVOUS_SYSTEM,SRS4395681,SRX5414686,RNASeq-KALS1_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19232979136,10271199824,10.27,glioma,primary,central_nervous_system,2019-02-23T23:55:00.000Z
SRR8615885,HS934T_FIBROBLAST,SRS4396062,SRX5415165,RNASeq-HS934T_FIBROBLAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17049100576,8384453082,8.38,malignant_melanoma,primary,skin,2019-02-24T00:20:00.000Z
SRR8615609,NCIH1836_LUNG,SRS4395767,SRX5414791,RNASeq-NCIH1836_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,12301333178,5680806575,5.68,carcinoma (small_cell_carcinoma),primary,lung,2019-02-23T23:20:00.000Z
SRR8615673,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395718,SRX5414727,RNASeq-SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17844209744,9592465662,9.59,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M5a)",primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:50:00.000Z
SRR8615677,SKBR3_BREAST,SRS4395714,SRX5414723,RNASeq-SKBR3_BREAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20512487738,11046885181,11.05,carcinoma,metastasis,breast,2019-02-23T23:57:00.000Z
SRR8615790,HS737T_FIBROBLAST,SRS4395106,SRX5414610,RNASeq-HS737T_FIBROBLAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16351204918,8046208577,8.05,giant_cell_tumour,primary,bone,2019-02-24T00:09:00.000Z
SRR8616198,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4396094,SRX5415204,RNASeq-BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19812735296,11211731888,11.21,haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia),primary,haematopoietic_and_lymphoid_tissue,2019-02-24T01:08:00.000Z
SRR8616118,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395872,SRX5414932,RNASeq-BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21636513102,12004629076,12.0,lymphoid_neoplasm (Burkitt_lymphoma),primary,haematopoietic_and_lymphoid_tissue,2019-02-24T00:59:00.000Z
SRR8615653,SNU503_LARGE_INTESTINE,SRS4395230,SRX5414747,RNASeq-SNU503_LARGE_INTESTINE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17946667982,9674877203,9.67,carcinoma,primary,large_intestine,2019-02-23T23:36:00.000Z
SRR8616012,A673_BONE,SRS4395238,SRX5415038,RNASeq-A673_BONE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22296397814,11928202528,11.93,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,primary,bone,2019-02-24T00:45:00.000Z
SRR8615665,HUG1N_STOMACH,SRS4395215,SRX5414735,RNASeq-HUG1N_STOMACH,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19766214292,9724748543,9.72,carcinoma,primary,stomach,2019-02-24T00:22:00.000Z
SRR8615713,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395682,SRX5414687,RNASeq-JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,13615420746,6417093046,6.42,haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:36:00.000Z
SRR8615378,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395418,SRX5414375,RNASeq-SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19045497078,9467754096,9.47,lymphoid_neoplasm (diffuse_large_B_cell_lymphoma),metastasis,haematopoietic_and_lymphoid_tissue,2019-02-23T23:00:00.000Z
SRR8615575,SNU1041_UPPER_AERODIGESTIVE_TRACT,SRS4395787,SRX5414825,RNASeq-SNU1041_UPPER_AERODIGESTIVE_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20832394936,11227995995,11.23,carcinoma,primary,upper_aerodigestive_tract,2019-02-23T23:40:00.000Z
SRR8615412,ASPC1_PANCREAS,SRS4395392,SRX5414341,RNASeq-ASPC1_PANCREAS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17024423246,9059086016,9.06,carcinoma (ductal_carcinoma),metastasis,pancreas,2019-02-23T22:55:00.000Z
SRR8615509,OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395314,SRX5414244,RNASeq-OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20421075264,10851370590,10.85,lymphoid_neoplasm (diffuse_large_B_cell_lymphoma),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:33:00.000Z
SRR8616024,SNU61_LARGE_INTESTINE,SRS4395234,SRX5415026,RNASeq-SNU61_LARGE_INTESTINE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20956164780,11287947060,11.29,carcinoma,primary,large_intestine,2019-02-24T00:56:00.000Z
SRR8616163,NCIH647_LUNG,SRS4395275,SRX5414887,RNASeq-NCIH647_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22916270164,12071566675,12.07,carcinoma (mixed_adenosquamous_carcinoma),metastasis,lung,2019-02-24T01:10:00.000Z
SRR8615440,NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395167,SRX5414313,RNASeq-NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21967753712,11565698922,11.57,lymphoid_neoplasm (diffuse_large_B_cell_lymphoma),metastasis,haematopoietic_and_lymphoid_tissue,2019-02-23T23:05:00.000Z
SRR8615974,PSN1_PANCREAS,SRS4395984,SRX5415076,RNASeq-PSN1_PANCREAS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17457512256,8699052492,8.7,carcinoma (ductal_carcinoma),primary,pancreas,2019-02-24T00:35:00.000Z
SRR8615435,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395144,SRX5414318,RNASeq-RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19440246690,10446672015,10.45,lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:06:00.000Z
SRR8615620,TE159T_FIBROBLAST,SRS4395761,SRX5414780,RNASeq-TE159T_FIBROBLAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,26699582098,13318029334,13.32,rhabdomyosarcoma,primary,soft_tissue,2019-02-24T00:00:00.000Z
SRR8615902,KMRC1_KIDNEY,SRS4396045,SRX5415148,RNASeq-KMRC1_KIDNEY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16678920426,7772578136,7.77,carcinoma (clear_cell_renal_cell_carcinoma),primary,kidney,2019-02-24T00:24:00.000Z
SRR8615921,JHH6_LIVER,SRS4396028,SRX5415129,RNASeq-JHH6_LIVER,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20310975972,10289608667,10.29,carcinoma (hepatocellular_carcinoma),primary,liver,2019-02-24T00:35:00.000Z
SRR8615471,SNU878_LIVER,SRS4395347,SRX5414282,RNASeq-SNU878_LIVER,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,11560106096,5509753218,5.51,carcinoma (hepatocellular_carcinoma),primary,liver,2019-02-23T23:06:00.000Z
SRR8615249,CAS1_CENTRAL_NERVOUS_SYSTEM,SRS4395529,SRX5414504,RNASeq-CAS1_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17511403230,9320949121,9.32,"glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)",primary,central_nervous_system,2019-02-23T22:55:00.000Z
SRR8615469,TE5_OESOPHAGUS,SRS4395349,SRX5414284,RNASeq-TE5_OESOPHAGUS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17607254452,8786951457,8.79,carcinoma (squamous_cell_carcinoma),primary,oesophagus,2019-02-23T23:18:00.000Z
SRR8615891,HCC2157_BREAST,SRS4396056,SRX5415159,RNASeq-HCC2157_BREAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18686207354,9170535691,9.17,carcinoma (ductal_carcinoma),primary,breast,2019-02-24T00:27:00.000Z
SRR8615384,GI1_CENTRAL_NERVOUS_SYSTEM,SRS4395413,SRX5414369,RNASeq-GI1_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17848380034,10055980561,10.06,glioma (gliosarcoma),primary,central_nervous_system,2019-02-23T22:57:00.000Z
SRR8615753,OVKATE_OVARY,SRS4395644,SRX5414647,RNASeq-OVKATE_OVARY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15633627188,7209048709,7.21,carcinoma (adenocarcinoma),primary,ovary,2019-02-23T23:40:00.000Z
SRR8616195,BT474_BREAST,SRS4396098,SRX5415207,RNASeq-BT474_BREAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16170449460,8663310938,8.66,carcinoma (ductal_carcinoma),primary,breast,2019-02-24T01:05:00.000Z
SRR8615577,MDAMB453_BREAST,SRS4395786,SRX5414823,RNASeq-MDAMB453_BREAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,12781082976,6427604087,6.43,carcinoma,metastasis,breast,2019-02-23T23:18:00.000Z
SRR8615951,KP2_PANCREAS,SRS4396004,SRX5415099,RNASeq-KP2_PANCREAS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16843475888,8924758564,8.92,carcinoma,primary,pancreas,2019-02-24T00:33:00.000Z
SRR8615233,MELHO_SKIN,SRS4395545,SRX5414520,RNASeq-MELHO_SKIN,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,13941175642,6559195814,6.56,malignant_melanoma,primary,skin,2019-02-23T22:48:00.000Z
SRR8615321,HS742T_FIBROBLAST,SRS4395466,SRX5414432,RNASeq-HS742T_FIBROBLAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15817758672,7740670732,7.74,carcinoma,primary,breast,2019-02-23T22:51:00.000Z
SRR8615674,SHP77_LUNG,SRS4395717,SRX5414726,RNASeq-SHP77_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17470110592,8807090367,8.81,carcinoma (small_cell_carcinoma),primary,lung,2019-02-23T23:51:00.000Z
SRR8616042,HSC4_UPPER_AERODIGESTIVE_TRACT,SRS4395100,SRX5415008,RNASeq-HSC4_UPPER_AERODIGESTIVE_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17579401884,8662038906,8.66,carcinoma (squamous_cell_carcinoma),primary,upper_aerodigestive_tract,2019-02-24T00:51:00.000Z
SRR8615535,NCIH2405_LUNG,SRS4395121,SRX5414218,RNASeq-NCIH2405_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19470463062,10319916974,10.32,carcinoma (adenocarcinoma),metastasis,lung,2019-02-23T23:33:00.000Z
SRR8615822,HCC1395_BREAST,SRS4395595,SRX5414578,RNASeq-HCC1395_BREAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17200548056,9077021207,9.08,carcinoma (ductal_carcinoma),primary,breast,2019-02-24T00:14:00.000Z
SRR8615761,M059K_CENTRAL_NERVOUS_SYSTEM,SRS4395638,SRX5414639,RNASeq-M059K_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,14446811134,6785112345,6.79,"glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)",primary,central_nervous_system,2019-02-23T23:45:00.000Z
SRR8616096,SCLC21H_LUNG,SRS4395142,SRX5414954,RNASeq-SCLC21H_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17784911836,8973902723,8.97,carcinoma (small_cell_carcinoma),metastasis,lung,2019-02-24T00:59:00.000Z
SRR8616015,A498_KIDNEY,SRS4395953,SRX5415035,RNASeq-A498_KIDNEY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15850157654,7999351552,8.0,carcinoma (renal_cell_carcinoma),primary,kidney,2019-02-24T00:41:00.000Z
SRR8615250,CFPAC1_PANCREAS,SRS4395528,SRX5414503,RNASeq-CFPAC1_PANCREAS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18152352664,9633205088,9.63,carcinoma (ductal_carcinoma),metastasis,pancreas,2019-02-23T22:58:00.000Z
