,CellLine,Run,GCS_RNA_SRA_dirpaths,Tissue,Experiment,Sample,SRAStudy,ReleaseDate,LibraryName,LibrarySource,Sex,CenterName,size_MB,download_path
42,LN443,SRR8615545,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615545/,CENTRAL_NERVOUS_SYSTEM,SRX5414855,SRS4395810,SRP186687,2019-03-27 12:24:36,RNASeq-LN443_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8173,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615545.sralite.1
43,OCILY19,SRR8615509,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615509/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414244,SRS4395314,SRP186687,2019-03-27 12:24:27,RNASeq-OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,10348,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615509.sralite.1
44,LOXIMVI,SRR8616186,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616186/,SKIN,SRX5414864,SRS4395815,SRP186687,2019-03-27 12:24:36,RNASeq-LOXIMVI_SKIN,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8297,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/616/SRR8616186.sralite.1
45,NCIH1792,SRR8615980,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615980/,LUNG,SRX5415070,SRS4395980,SRP186687,2019-03-27 12:24:39,RNASeq-NCIH1792_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8125,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615980.sralite.1
46,NCIH1838,SRR8615608,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615608/,LUNG,SRX5414792,SRS4395211,SRP186687,2019-03-27 12:24:35,RNASeq-NCIH1838_LUNG,TRANSCRIPTOMIC,female,BROAD INSTITUTE,11688,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615608.sralite.1
47,SNUC4,SRR8615619,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615619/,LARGE_INTESTINE,SRX5414781,SRS4395197,SRP186687,2019-03-27 12:24:35,RNASeq-SNUC4_LARGE_INTESTINE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8333,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615619.sralite.1
48,SKNMC,SRR8615497,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615497/,BONE,SRX5414256,SRS4395146,SRP186687,2019-03-27 12:24:28,RNASeq-SKNMC_BONE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,11061,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615497.sralite.1
49,NCIH441,SRR8615804,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615804/,LUNG,SRX5414596,SRS4395274,SRP186687,2019-03-27 12:24:32,RNASeq-NCIH441_LUNG,TRANSCRIPTOMIC,,BROAD INSTITUTE,11540,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615804.sralite.1
50,SCC9,SRR8616095,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616095/,UPPER_AERODIGESTIVE_TRACT,SRX5414955,SRS4395890,SRP186687,2019-03-27 12:24:37,RNASeq-SCC9_UPPER_AERODIGESTIVE_TRACT,TRANSCRIPTOMIC,male,BROAD INSTITUTE,13051,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/616/SRR8616095.sralite.1
51,LN464,SRR8615546,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615546/,CENTRAL_NERVOUS_SYSTEM,SRX5414854,SRS4395809,SRP186687,2019-03-27 12:24:36,RNASeq-LN464_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,male,BROAD INSTITUTE,9642,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615546.sralite.1
52,KMBC2,SRR8615909,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615909/,URINARY_TRACT,SRX5415141,SRS4396038,SRP186687,2019-03-27 12:24:40,RNASeq-KMBC2_URINARY_TRACT,TRANSCRIPTOMIC,,BROAD INSTITUTE,6460,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615909.sralite.1
53,YH13,SRR8618313,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8618313/,CENTRAL_NERVOUS_SYSTEM,SRX5417203,SRS4397843,SRP186687,2019-03-27 12:24:41,RNASeq-YH13_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,male,BROAD INSTITUTE,4321,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/618/SRR8618313.sralite.1
54,KASUMI6,SRR8615363,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615363/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414390,SRS4395431,SRP186687,2019-03-27 12:24:29,RNASeq-KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,6681,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615363.sralite.1
55,NUDHL1,SRR8615440,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615440/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414313,SRS4395167,SRP186687,2019-03-27 12:24:28,RNASeq-NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,11029,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615440.sralite.1
56,SKNAS,SRR8615502,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615502/,AUTONOMIC_GANGLIA,SRX5414251,SRS4395321,SRP186687,2019-03-27 12:24:27,RNASeq-SKNAS_AUTONOMIC_GANGLIA,TRANSCRIPTOMIC,female,BROAD INSTITUTE,10897,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615502.sralite.1
57,HCC2935,SRR8615996,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615996/,LUNG,SRX5415054,SRS4395131,SRP186687,2019-03-27 12:24:39,RNASeq-HCC2935_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8681,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615996.sralite.1
58,T3M4,SRR8616010,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616010/,PANCREAS,SRX5415040,SRS4395957,SRP186687,2019-03-27 12:24:39,RNASeq-T3M4_PANCREAS,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8478,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616010.sralite.1
59,KYSE270,SRR8616036,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616036/,OESOPHAGUS,SRX5415014,SRS4395940,SRP186687,2019-03-27 12:24:38,RNASeq-KYSE270_OESOPHAGUS,TRANSCRIPTOMIC,male,BROAD INSTITUTE,6790,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616036.sralite.1
60,BFTC905,SRR8615768,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615768/,URINARY_TRACT,SRX5414632,SRS4395631,SRP186687,2019-03-27 12:24:33,RNASeq-BFTC905_URINARY_TRACT,TRANSCRIPTOMIC,female,BROAD INSTITUTE,9558,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615768.sralite.1
61,HS688AT,SRR8615785,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615785/,FIBROBLAST,SRX5414615,SRS4395620,SRP186687,2019-03-27 12:24:32,RNASeq-HS688AT_FIBROBLAST,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7920,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615785.sralite.1
62,HCC2157,SRR8615891,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615891/,BREAST,SRX5415159,SRS4396056,SRP186687,2019-03-27 12:24:41,RNASeq-HCC2157_BREAST,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8745,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615891.sralite.1
63,NALM6,SRR8615346,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615346/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414407,SRS4395447,SRP186687,2019-03-27 12:24:29,RNASeq-NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8318,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615346.sralite.1
64,TT,SRR8615726,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615726/,THYROID,SRX5414674,SRS4395671,SRP186687,2019-03-27 12:24:33,RNASeq-TT_THYROID,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8324,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615726.sralite.1
